id,name,current_url,proposed_url,verdict,evidence
55723,AIA Group,https://www.aia.com/en/investor-relations/overview/financial-calendar,https://www.aia.com/en/investor-relations/overview/financial-calendar,found-tentative,"AIA Financial Calendar lists all important financial announcements starting from 2011; WebFetch timed out but URL confirmed via search"
2501,AMC Networks,https://investors.amcnetworks.com/events-and-presentations,https://investors.amcnetworks.com/events-and-presentations,found-tentative,"AMC Networks IR events-and-presentations page exists; announces upcoming investor conferences per press release"
65983,AVIC International,https://www.avicryo.com/news.html,http://avicintl.listedcompany.com/financial_calendar.html,no-calendar-page,"AVIC International Maritime Holdings has delisted via voluntary conditional cash offer; no active public calendar"
55546,Abbott Labs,https://www.abbottinvestor.com/news-and-events/events,https://www.abbottinvestor.com/news-and-events/events,found,"Q1 2026 Abbott Earnings Conference Call and Q3 2025 Abbott Earnings Conference Call scheduled per gcs-web IR site"
55568,Abu Dhabi Developmental Holding Company,https://www.adq.ae/investors,https://www.adq.ae/investors,no-calendar-page,"ADQ is a sovereign holding company; investor page exists but no financial calendar; folded into L'imad in early 2026"
55571,Abu Dhabi National Energy,https://www.taqa.com/announcements/?cat_id=133&csrt=1157673590154016641,https://www.taqa.com/investors-company-announcements/,found-tentative,"TAQA announcements page exists but WebFetch returned CAPTCHA; Q1 2026 results announced 23 Feb 2026"
55572,Abu Dhabi National Oil,https://www.adnocdistribution.ae/investor-relations/results-and-presentation,https://www.adnocdistribution.ae/en/investor-relations/shareholder-information/financial-calendar,found-tentative,"ADNOC Distribution financial calendar page exists (403 on WebFetch); ADNOC Gas sibling shows Aug 10 2026 Q2 results date"
55585,Accolade,https://accolade.eu/en/news,https://accolade.eu/en/about/bonds,no-calendar-page,"Czech industrial real estate group; private company with bond programme but no public financial calendar"
4966,Acqua & Sapone,https://cesarspa.com/tipologia-documento/rassegna-stampa-it/,https://cesarspa.com/tipologia-documento/rassegna-stampa-it/,no-calendar-page,"Private company acquired by TDR Capital in 2024 (previously H.I.G. Capital); no public IR calendar"
725,Adler Pelzer,https://www.adlerpelzer.com/investor,https://www.adlerpelzer.com/investor,no-calendar-page,"Private German automotive supplier; investor section exists but no financial calendar published"
1872,Advanz Pharma,https://investors.advanzpharma.com/investors-new,https://investors.advanzpharma.com/,no-calendar-page,"Private specialty pharma (Nordic Capital-owned); investor portal is behind login; no public calendar"
55657,Aenza,https://investorrelations.aenza.com.pe/reportes/estados-financieros/consolidados,https://investorrelations.aenza.com.pe/,no-calendar-page,"Peruvian conglomerate; deregistered from SEC in late 2024; no forward-looking calendar published"
59027,Aeromexico,https://ir.aeromexico.com/news-events/events-and-presentations,https://ir.aeromexico.com/news-events/events-and-presentations,found-tentative,"Aeromexico held Q1 2026 webcast April 22 2026 and Q4 2025 call Feb 17 2026 per news releases"
