id,name,current_url,proposed_url,verdict,evidence
63472,UniCredit,https://www.unicreditgroup.eu/en/press-media/press-releases.html,https://www.unicreditgroup.eu/en/investors/financial-reporting/financial-calendar.html,found-tentative,"Dedicated financial calendar page exists (403 on fetch, but confirmed via search listing '2026 Financial Calendar - UniCredit' and 'Financial calendar - UniCredit' pages)"
63475,UniCredit Czech Republic & Slovakia,https://www.unicreditbank.cz/en/ostatni/informace-pro-investory.html,,no-calendar-page,"Subsidiary bank; only debt-investor prospectuses and annual reports published; no financial calendar page found"
7239,Unigel,https://ri.unigel.com.br/en/investor-information/results-center/,https://ri.unigel.com.br/en/investor-information/events-and-conferences/,no-calendar-page,"Brazilian chemicals issuer in judicial recovery; events-and-conferences page exists but shows no upcoming events or future dates"
2420,United States Steel Corporation,https://www.ussteel.com/about-us/financial-information,https://investors.ussteel.com/events-and-presentations/,found-tentative,"Investors subdomain events page listed in search results; fetch failed with DNS/timeout so calendar contents unverified"
63552,Urban Renewal Authority,https://www.ura.org.hk/en/about-ura/investor-relations,,no-calendar-page,"Hong Kong statutory body; IR section only lists credit rating / HKSE notices / sustainable finance; no calendar section"
63763,VTR Finance,https://vtr.com/inversionistas,,no-calendar-page,"Chilean telecom now merged into ClaroVTR; inversionistas page unreachable and no dedicated IR calendar page identified"
63590,VakıfBank,https://www.vakifbank.com.tr/en/investor-relations/earnings-presentations,https://www.vakifbank.com.tr/en/investor-relations,no-calendar-page,"IR portal has Financials/Presentations/General Assembly sections but no dedicated financial calendar page"
1122,Vedanta Resources,https://www.vedantaresources.com/investor-relations-corporate-calendar.php,https://www.vedantaresources.com/investor-relations-corporate-calendar.php,found-tentative,"Corporate calendar page exists at same URL; shows H1/H2 FY24 events and dates through July 2024 — page is real but calendar entries appear stale"
6840,Veritiv,https://ir.veritiv.com/events-presentations/default.aspx,,no-calendar-page,"Went private via Clayton Dubilier & Rice buyout in 2023; IR site still up with Upcoming/Recent Events template but no events listed"
63664,Vestas,https://www.vestas.com/en/investor,https://www.vestas.com/en/investor/Calendar-Events,found,"Full 2026 financial calendar with 7 dated events: 05 Feb 2026 Annual Report 2025; 06 May 2026 Q1; 12 Aug 2026 Q2; 11 Nov 2026 Q3; plus AGM and roadshow schedule"
63722,Vista Energy,https://www.vistaenergy.com/inversionistas,https://www.vistaenergy.com/en/investors,found,"English investor page lists Sep 2026 conferences (Citi GEMS 8 Sep; UBS EM 9 Sep; Morgan Stanley LatAm 14 Sep; JP Morgan 16 Sep; PEP Energy 29 Sep) and Q2 2026 earnings webcast Jul 17 2026"
67696,Volkswagen Bank,https://www.vwfs-overseas.com/Investor-Relations/Annual-Reports.html,https://www.vwfs.com/en/investor-relations.html,no-calendar-page,"VWFS main IR page has Annual/Interim reports and Presentations but no financial calendar section for the bank entity"
2347,WESCO Distribution,https://investors.wesco.com/news-events/events-presentations?1b3b0c480a4691ad7cfca489ef73ea6dddabadcc1fe2fe52263484920fe5d930_year%5Bvalue%5D=2025&op=Filter&1b3b0c480a4691ad7cfca489ef73ea6dddabadcc1fe2fe52263484920fe5d930_widget_id=1b3b0c480a4691ad7cfca489ef73ea6dddabadcc1fe2fe52263484920fe5d930&form_build_id=form-eRwcCQuqHatOpA-Axj6mGFE3Qrj6GuNZRPfZHxbEBrg&form_id=widget_form_base,https://investors.wesco.com/news-events/events-presentations,found-tentative,"Cleaner URL without query params; search confirms Q1 2026 earnings call 30 Apr 2026 and other events posted on this page; fetch timed out"
36535,WOM SA,https://sobrenosotros.wom.cl/en/press-releases/,,no-calendar-page,"Chilean telecom private company; bonds defaulted 2024; no formal IR financial calendar page identified"
