id,name,current_url,proposed_url,verdict,evidence
39133,Masorange,https://masorange.es/en/investors/economic-financial-information/periodic-public-information/,https://masorange.es/en/investors/,no-calendar-page,"PE-owned (KKR/Cinven/Providence); IR page has corporate governance and economic-financial info sections but no dedicated financial calendar"
60527,Mass Mutual,https://www.massmutual.com/about-us/news-and-press-releases,https://www.massmutual.com/about-us/news-and-press-releases,no-calendar-page,"Mutual insurer with no IR/calendar; only press releases (2025 results announced March 2026)"
788,Matalan,https://www.matalan.co.uk/c/corporate/,https://www.matalan.co.uk/c/corporate/corporate-publications/,no-calendar-page,"PE-owned; corporate publications page lists past annual/interim results (FY24 25 26) but no forward calendar"
60547,Maxam,https://investors.maxamprill.com/en/downloads,https://www.maxamcorp.com/en/newsinsights/corporate-presentation,no-calendar-page,"PE-owned (Rhone Capital 73%); investor materials limited to corporate presentation; no financial calendar"
1178,Maxeda,https://www.maxedadiygroup.com/investors/financial-information/,https://www.maxedadiygroup.com/investors/financial-information/,no-calendar-page,"PE-owned; acquired Jan 2026; FY ends 31 January with annual accounts published following October; no calendar page"
1279,Maxima Grupe,https://www.maximagrupe.eu/results/,https://www.maximagrupe.eu/news/,no-calendar-page,"Private (Vilniaus Prekyba group); news page has result announcements but no forward calendar"
60550,Maybank Singapore,https://www.maybank.com/en/investor-relations.page,https://www.maybank.com/en/investor-relations/reporting-events/financial-calendar.page,found-tentative,"Listed bank with dedicated financial calendar page; 66th AGM 30 April 2026 and Q1 FY2026 announced 29 May 2026 (page returned 404 on fetch but URL confirmed by search)"
60564,McDonald's,https://corporate.mcdonalds.com/corpmcd/investors/events-and-presentations.html,https://corporate.mcdonalds.com/corpmcd/investors/events-and-presentations.html,found-tentative,"Existing URL is the correct events & presentations page; fetch timed out but confirmed in search results as canonical location for future conferences and earnings calls"
1378,Mehilainen,https://www.mehilainen.fi/en/press-release,https://www.mehilainen.fi/en/press-release,no-calendar-page,"PE-owned (CVC); bond issuer but no financial calendar published; press releases only"
60604,Meituan,https://www.meituan.com/investor-relations,https://www.meituan.com/en-US/investor/calendar,found,"Verified event calendar with upcoming dates: Q2 2026 results Aug 28 2026; Q1 2026 results June 1 2026; Q4/FY2025 March 26 2026"
60626,Merck KGaA,https://www.merckgroup.com/en/investors/events-and-presentations.html,https://www.emdgroup.com/en/investors/events-and-presentations/financial-calendar.html,found-tentative,"Confirmed upcoming: Q3 2026 results 12 Nov 2026 7am CET; Q4 2026 results 4 March 2027 (emdgroup domain replaces merckgroup for US audience)"
790,Merlin Entertainments,https://www.merlinentertainments.biz/investor-relations/information-for-debtholders/,https://www.merlinentertainments.biz/investor-relations/results-reports-and-presentations/,no-calendar-page,"PE-owned (Blackstone/CPPIB); results-reports page shows FY25 Annual Report 24 Mar 2026 and HY 29 Aug 2025 but no forward calendar"
60645,Metalsa,https://investors.metalsa.com/news?year=2025,https://investors.metalsa.com/,no-calendar-page,"Private (Proeza Group); investor portal requires access request; no public financial calendar"
60651,Metro de Santiago,https://www.metro.cl/gobierno-corporativo/inversionistas/en,https://www.metro.cl/gobierno-corporativo/inversionistas/en,no-calendar-page,"State-owned; publishes quarterly financial statements (Mar/Jun/Sep/Dec) most recent Jun 2026 but no formal calendar with future dates"
60715,Minsur,https://www.minsur.com/inversiones-reportes/reportes?idioma=en,https://www.minsur.com/inversiones-reportes/reportes?idioma=en,no-calendar-page,"BVL-listed (Peru); page returned empty; no financial calendar published on IR site"
60717,Mirae Asset Securities,https://english.securities.miraeasset.com/,https://securities.miraeasset.com/newir/view/pc/en/investor/financialsReports.jsp,no-calendar-page,"Listed (KRX A006800); IR site has Financials & Reports and Stock Information sections but no dedicated financial calendar page; fetch failed"
2943,Morrisons,https://www.morrisons-corporate.com/financial-archive/investor-contacts/,https://www.morrisons-corporate.com/financial-archive/,no-calendar-page,"PE-owned (CD&R since Oct 2021); financial-archive lists historical reports of Market Bidco/Topco but no calendar"
60799,Motability,https://www.motabilityfoundation.org.uk/about-us/annual-reports-and-accounts/,https://www.mo.co.uk/our-performance/investor-hub/,found-tentative,"Motability Operations investor hub has latest reports frameworks and RNS feed; H1 2026 Results referenced; no explicit calendar with dates"
3033,Multiversity,https://multiversity.it/,https://multiversity.it/investor-area,no-calendar-page,"PE-owned (CVC); investor area exists but access-controlled; no public financial calendar"
