id,name,current_url,proposed_url,verdict,evidence
1137,Bombardier,https://bombardier.com/en/investors/investor-events,https://bombardier.com/en/investors/investor-events,found,"Financial Results for Q3 2026 - November 5, 2026, 8:00 a.m. Eastern; online live stream event"
62092,Bosch,http://bosch.com/company/investor-relations/,https://www.bosch.com/company/investor-relations/,found,"Upcoming: September 23, 2026 - Virtual Conference Call H1 2026 with CFO Dr. Markus Forschner"
56764,Braskem Idesa,https://inversionistasbraskemidesa.com.mx/,https://inversionistasbraskemidesa.com.mx/indexen.html,found-tentative,"Page has UPCOMING EVENTS section and PDF calendar link (/pdf/annual_calendar_ir_events.pdf) but no live dates rendered"
1844,Brink's,https://investors.brinks.com/news-and-events/events,https://investors.brinks.com/news-and-events/events,found-tentative,"IR events page exists; press release confirms Q2 2026 earnings Aug 5 2026 (fetch timed out)"
65825,CFE Capital,https://cfecapital.com.mx/inversionistas,https://cfecapital.com.mx/inversionistas,no-calendar-page,"Site lists investment vehicles (Fibra E, FMI, Fortasen, Arcadia, Aurora) but no financial calendar or reporting schedule"
58236,CMPC Investments,https://ir.cmpc.com/inicio?lang=es-CL,https://ir.cmpc.com/events,found-tentative,"Events page URL exists per search results; page returned title only in fetch (JS-rendered)"
630,Cable & Wireless Communications,https://investors.lla.com/fixed-income/?utm_source=,https://investors.lla.com/events-and-presentations/events/default.aspx,found-tentative,"Liberty Latin America events page exists with year filter; events list JS-loaded (not rendered in fetch)"
57734,Caisse de Refinancement de l'Habitat,https://www.crh-bonds.com/Communique/Liste_Communique.html,https://www.crh-bonds.com/,no-calendar-page,"Bond issuer site lists reference documents (URD 2025, Pillar III) but no financial calendar section"
56884,Caixabank,https://www.caixabank.com/es/actualidad.html,https://www.caixabank.com/aplnr/agenda/index_en.html,found,"Investor's agenda: Sept 15 Barclays Conf; Sept 22 BofA Financials Conf; Oct 30 3Q 2026 Results; Nov 19 JP Morgan European Financials Conf"
53487,Capital One,https://investor.capitalone.com/,https://investor.capitalone.com/,found-tentative,"Main IR page for major US public issuer; events subpages timed out (JS-heavy) but IR page is canonical"
2898,Cedacri,https://www.cedacri.it/en/company/news/news-ed-eventi,https://www.cedacri.it/en/company/news/news-ed-eventi,no-calendar-page,"PE-owned Italian tech firm (ION Group); no public financial calendar published"
